itemId,iid
0060958901,404
0060958928,405
0060959290,406
0060959371,407
0060959428,408
0060959479,409
0060963964,410
0060970588,411
0060970634,412
0060975199,413
0060975229,414
0060975520,415
0060976098,416
0060976179,417
0060981180,418
0060982047,419
0060986085,420
0060997028,421
006100331X,422
006101270X,423
0061012882,424
0061012890,425
0061012904,426
0061012955,427
0061012963,428
0061013315,429
0061013382,430
0061013463,431
0061013617,432
0061014249,433
0061020087,434
0061030120,435
0061030201,436
006103021X,437
0061040428,438
0061043893,439
0061044695,440
0061050326,441
0061051101,442
0061051128,443
0061051179,444
0061053953,445
0061054658,446
0061054666,447
0061054682,448
006105481X,449
0061054836,450
0061055328,451
0061056006,452
0061059722,453
0061075582,454
0061075795,455
0061080616,456
0061080780,457
0061081523,458
0061081531,459
0061084956,460
0061085626,461
0061087068,462
0061087114,463
0061087122,464
0061087130,465
0061090867,466
0061091561,467
0061091642,468
0061092029,469
0061092037,470
0061092363,471
0061097071,472
0061097268,473
0061124230,474
0061127930,475
0061138347,476
0061149055,477
0061316865,478
006205161X,479
0062501925,480
0062501976,481
0062502565,482
0062503405,483
0062504061,484
0062506838,485
006250746X,486
0062507621,487
006251279X,488
0062513346,489
0062514083,490
0062514172,491
0062516957,492
0062517740,493
0062517767,494
0062701673,495
0062702440,496
0062732765,497
0062734172,498
0062736981,499
0064401669,500
0064401766,501
0064401774,502
0064406849,503
0064406970,504
0064407152,505
0064408086,506
0064408094,507
006443298X,508
0064434230,509
0064637220,510
006534068X,511
0066212375,512
0066212448,513
0066212502,514
0066212596,515
0066213002,516
0066236959,517
0066238471,518
0066620694,519
0066620767,520
0066620856,521
0070334846,522
0070342032,523
0070383014,524
0070440433,525
0070465746,526
0070534489,527
0071357548,528
0071357696,529
0071358064,530
0071362959,531
0071364382,532
0071373683,533
0071377948,534
0071385290,535
007142220X,536
007142640X,537
0071431942,538
0071432299,539
0071432302,540
0071432388,541
0071433015,542
0071446524,543
0071453393,544
0071462694,545
0071467858,546
007146901X,547
0072224282,548
0072260858,549
007243418X,550
0072512601,551
0075543893,552
0091198917,553
009133571X,554
0091345804,555
009138771X,556
0091457009,557
009179661X,558
0091812747,559
0091885671,560
0091891396,561
0091901731,562
0099273691,563
0099278308,564
0099279088,565
0099282992,566
0099285061,567
0099289245,568
0099362813,569
0099410362,570
0099410397,571
0099410486,572
0099429896,573
0099429926,574
0099439859,575
0099439867,576
0099441446,577
0099456451,578
0099472627,579
0099472635,580
0099478277,581
009949762X,582
0099497646,583
009949776X,584
009949857X,585
0099498596,586
009969400X,587
0099939207,588
0130047635,589
013009398X,590
0130183806,591
0130206016,592
0130247049,593
0130870528,594
0131002872,595
0131118269,596
0131244051,597
0131407287,598
0131411543,599
0131412272,600
0131422464,601
0131454390,602
0131470205,603
0131470248,604
0131490508,605
0131710664,606
0131855867,607
0131872788,608
0131934805,609
0132431068,610
0133075052,611
0133499456,612
0133851397,613
0134354575,614
0134354583,615
013500554X,616
0135560934,617
0135754577,618
0136290493,619
0136631541,620
0137549202,621
0140000364,622
0140005595,623
014004227X,624
0140046615,625
0140046852,626
0140046860,627
0140047239,628
0140056947,629
0140058265,630
0140067647,631
0140073361,632
0140084428,633
0140089225,634
0140089349,635
0140094199,636
014009430X,637
0140094563,638
0140095039,639
0140095071,640
0140098631,641
0140098658,642
0140099255,643
0140100261,644
0140104712,645
0140104771,646
014010478X,647
0140116168,648
0140119604,649
0140119930,650
0140120904,651
0140122060,652
0140124896,653
0140124950,654
0140127003,655
014012991X,656
0140131671,657
014013168X,658
014013574X,659
014013591X,660
0140136258,661
0140139966,662
0140142096,663
0140142177,664
014014224X,665
0140145818,666
0140153179,667
0140156801,668
0140156828,669
0140167374,670
0140168222,671
0140178112,672
0140178139,673
014017821X,674
0140178244,675
0140182748,676
0140183663,677
0140187758,678
0140187855,679
0140188517,680
0140193669,681
014019441X,682
0140219579,683
0140219781,684
0140240845,685
0140241558,686
0140242058,687
0140245669,688
0140246339,689
0140249990,690
014025241X,691
0140253017,692
0140256350,693
0140262318,694
0140263098,695
0140263144,696
0140266534,697
0140266909,698
0140267255,699
0140272607,700
0140277293,701
0140278125,702
0140282548,703
0140282580,704
0140286810,705
0140288139,706
0140292926,707
014029323X,708
0140298401,709
0140298533,710
0140314601,711
0140345809,712
0140345817,713
0140351310,714
0140365990,715
0140383093,716
0140387684,717
0140430431,718
0140433929,719
014043397X,720
0140434763,721
0140435549,722
0140436030,723
0140439544,724
0140439552,725
0140440488,726
0140440542,727
0140440615,728
0140440704,729
0140441115,730
0140441123,731
0140441131,732
0140441166,733
0140441212,734
0140441379,735
0140444734,736
0140444750,737
0140445307,738
0140445323,739
0140445331,740
0140445560,741
0140445625,742
0140445641,743
014044565X,744
0140449701,745
0140465650,746
0140470956,747
0140504206,748
0140508368,749
0140513639,750
0140545190,751
014054979X,752
0140586512,753
0140714014,754
0140817751,755
0140860096,756
0140860258,757
0140860428,758
0140860436,759
0140861084,760
0140863869,761
0140863877,762
0140864490,763
0140864512,764
014086508X,765
0140868895,766
0140868992,767
0140869425,768
014086945X,769
0141001836,770
0141001933,771
0141007230,772
0141011890,773
0141011912,774
0141013125,775
0141013451,776
0141016965,777
0141180412,778
0141180420,779
0141180536,780
0141180641,781
0141180692,782
0141181230,783
0141184604,784
0141184965,785
0141185201,786
0141186127,787
0141186194,788
0141300620,789
0141302283,790
0141305967,791
0141310960,792
0141310995,793
0141312351,794
0141317310,795
0141390123,796
014139014X,797
0141800062,798
0141800070,799
0141800097,800
0141800127,801
0141803738,802
0141803770,803
0141804521,804
014180453X,805
0141804564,806
0141804572,807
0141804599,808
0141805110,809
0141881909,810
0142000086,811
0142003700,812
0142003816,813
0142003875,814
0142003948,815
0142004227,816
0142004596,817
0142401978,818
0142402605,819
0142402761,820
0142403245,821
0142437816,822
0142437883,823
0142437913,824
0142437921,825
0142501875,826
014250193X,827
0142800708,828
0142800732,829
0142800740,830
0143036777,831
0143057804,832
0143058207,833
0143058223,834
0143059009,835
0143059173,836
014305919X,837
0143104802,838
0147503078,839
0147712033,840
0151002223,841
0151002274,842
0151005958,843
0151007349,844
0151011613,845
0151011621,846
0151011745,847
0151011796,848
0151012245,849
0151012385,850
0151012490,851
0151064431,852
015145745X,853
015173948X,854
0151997357,855
0152003533,856
0152004246,857
0152007873,858
0152008667,859
0152009019,860
015201294X,861
015201389X,862
015201392X,863
0152014373,864
0152017909,865
0152017968,866
015201909X,867
0152019162,868
0152020152,869
0152023887,870
0152024301,871
0152024468,872
0152045686,873
0152045694,874
0152046127,875
0152046267,876
0152049509,877
0152050523,878
0152050698,879
0152050868,880
0152051139,881
0152051171,882
0152699546,883
0155055925,884
0156000849,885
0156001373,886
015600139X,887
0156002108,888
0156002388,889
0156005778,890
0156005832,891
0156006243,892
0156006332,893
0156006537,894
0156007037,895
015600710X,896
0156007185,897
015601095X,898
0156011522,899
0156011832,900
0156011905,901
0156013029,902
0156013096,903
0156028158,904
015603252X,905
0156032880,906
0156032899,907
0156078805,908
0156347245,909
0156605171,910
0156729601,911
0156765934,912
0174436149,913
0174436254,914
0174436335,915
0174436440,916
0175564299,917
0191958042,918
0192100408,919
0192100521,920
0192115790,921
019211655X,922
019250357X,923
0192504231,924
0192504541,925
019251038X,926
0192546120,927
0192683020,928
0192713817,929
0192745301,930
0192797484,931
0192801996,932
0192802593,933
0192802771,934
0192802836,935
0192804030,936
0192813595,937
0192816926,938
0192816977,939
0192817507,940
0192817728,941
0192817868,942
0192817914,943
0192818244,944
0192818252,945
0192818287,946
019282340X,947
0192823744,948
0192824007,949
0192824252,950
0192828479,951
0192828495,952
0192828614,953
0192828770,954
0192833502,955
0192833669,956
0192833723,957
0192833839,958
019283391X,959
0192833979,960
019283410X,961
0192834126,962
0192834266,963
019283438X,964
0192835025,965
0192835092,966
0192838717,967
0192838768,968
0192838857,969
0192838881,970
019283908X,971
0192839128,972
0192839462,973
0192840126,974
0192840401,975
0192840428,976
019285108X,977
0192853961,978
0192854496,979
0192854526,980
0192860305,981
0192875647,982
0192892231,983
0194230481,984
019423052X,985
0195001990,986
0195022726,987
0195033426,988
0195050010,989
019505377X,990
0195068904,991
0195069552,992
0195074777,993
0195078969,994
0195080408,995
0195085140,996
0195085574,997
019508974X,998
0195090616,999
0195091124,1000
0195099966,1001
0195101529,1002
0195101693,1003
019510644X,1004
0195106466,1005
0195107179,1006
0195112210,1007
0195112334,1008
0195117263,1009
0195123190,1010
0195127420,1011
0195128192,1012
0195131924,1013
0195132416,1014
0195132653,1015
0195133404,1016
0195137558,1017
0195138058,1018
019513818X,1019
0195147626,1020
0195147782,1021
0195152972,1022
0195153421,1023
0195153472,1024
0195154207,1025
0195157990,1026
0195158679,1027
0195160142,1028
0195168445,1029
0195168844,1030
0195169182,1031
0195169360,1032
0195222172,1033
0195222180,1034
0195283805,1035
0195283813,1036
0195283945,1037
0195300513,1038
0195300718,1039
019558337X,1040
0195704215,1041
0195798333,1042
0195810015,1043
0195810147,1044
0195903234,1045
0198117647,1046
0198118244,1047
0198150059,1048
0198150121,1049
0198150342,1050
019816503X,1051
0198207069,1052
0198506147,1053
019860971X,1054
0198609736,1055
019861134X,1056
0198642148,1057
0198721471,1058
0199110115,1059
0199172420,1060
019924989X,1061
0199266344,1062
0199267170,1063
020107981X,1064
0201144565,1065
020132802X,1066
0201328399,1067
020135358X,1068
0201379376,1069
0201407175,1070
0201433079,1071
0201433311,1072
0201483920,1073
0201485419,1074
0201489376,1075
0201489392,1076
0201500647,1077
020154329X,1078
0201577933,1079
0201615622,1080
0201615762,1081
0201615770,1082
020161586X,1083
0201615983,1084
020161622X,1085
0201616416,1086
0201616475,1087
0201626632,1088
0201627337,1089
020163211X,1090
0201667622,1091
020169946X,1092
0201700549,1093
0201700735,1094
020170899X,1095
0201710919,1096
0201711141,1097
020172149X,1098
020172152X,1099
0201722089,1100
0201730847,1101
020173723X,1102
0201741571,1103
0201752794,1104
0201773406,1105
0201799405,1106
0201914654,1107
0201924889,1108
0205262589,1109
0207197849,1110
0224008390,1111
0224012797,1112
0224013289,1113
0224038559,1114
0224043919,1115
0224050435,1116
0224069764,1117
0226038130,1118
0226042731,1119
0226064530,1120
0226069303,1121
0226105962,1122
0226106306,1123
0226143228,1124
0226258238,1125
0226284182,1126
0226290328,1127
0226300633,1128
0226321452,1129
0226346838,1130
0226458032,1131
0226468003,1132
0226468038,1133
0226468046,1134
0226468054,1135
0226493636,1136
0226500438,1137
0226500462,1138
0226555917,1139
0226677168,1140
0226677184,1141
0226772357,1142
0226803384,1143
0226960315,1144
0226971503,1145
0231116403,1146
0231122004,1147
0231126409,1148
0231131666,1149
023113312X,1150
0231136560,1151
0232512027,1152
0232516758,1153
0232523126,1154
0233981071,1155
0233983880,1156
0233989609,1157
0237526670,1158
0241109876,1159
0241141729,1160
0241141761,1161
0241143071,1162
0246109505,1163
0246120630,1164
0246120673,1165
0246122072,1166
0252026896,1167
0252060121,1168
0253202833,1169
0253339324,1170
0253358752,1171
0257661514,1172
0262011530,1173
0262033011,1174
0262112272,1175
0262560992,1176
0262561468,1177
0262661659,1178
026313931X,1179
0263831256,1180
026801759X,1181
0268017670,1182
0271008466,1183
0271017805,1184
0271024631,1185
0275948706,1186
0275961036,1187
0275961133,1188
0275987027,1189
0281049688,1190
0281055505,1191
0283981687,1192
0285634763,1193
0285635182,1194
0292707185,1195
0292727240,1196
0292743211,1197
0297769111,1198
0297842447,1199
0297843052,1200
0297846876,1201
029784766X,1202
0300020554,1203
0300020570,1204
0300030665,1205
0300030819,1206
0300034962,1207
0300047002,1208
0300065809,1209
0300072651,1210
0300076614,1211
0300076746,1212
0300078005,1213
0300078153,1214
0300082533,1215
0300082703,1216
0300083238,1217
0300087608,1218
0300088094,1219
0300088329,1220
0300092946,1221
0300094108,1222
0300097573,1223
0300097603,1224
0300097697,1225
0300103611,1226
0300104111,1227
030010426X,1228
0300107986,1229
0300108656,1230
0300108702,1231
0300108834,1232
0300110243,1233
0300113994,1234
0300114311,1235
0300114370,1236
0300120176,1237
030435256X,1238
0304352705,1239
0304356980,1240
0306719002,1241
0306804093,1242
0306806975,1243
0306806983,1244
0306807475,1245
0306807572,1246
0306807831,1247
0306808048,1248
0306808129,1249
030680834X,1250
0306812673,1251
030681272X,1252
0306812851,1253
0306812975,1254
0306813297,1255
0306813386,1256
0306813548,1257
0306813696,1258
0306814072,1259
0306814080,1260
0306814099,1261
0306814234,1262
0307027910,1263
0307086593,1264
0307165205,1265
030723763X,1266
0307237885,1267
0307237915,1268
0307238512,1269
0307261018,1270
0307261077,1271
0307263983,1272
0307264556,1273
0307275329,1274
0307280691,1275
0307280721,1276
0307336913,1277
0307336964,1278
0307338231,1279
0307338282,1280
030768928X,1281
0308702522,1282
0309070368,1283
0309096227,1284
0310208068,1285
0310208165,1286
0310212715,1287
0310212766,1288
0310212952,1289
0310212987,1290
0310217601,1291
0310220033,1292
0310220114,1293
0310220157,1294
0310220173,1295
0310223679,1296
0310227844,1297
0310228328,1298
0310230055,1299
0310234395,1300
0310239265,1301
0310239451,1302
0310243874,1303
0310243998,1304
0310248736,1305
0310248787,1306
0310248809,1307
0310248884,1308
0310249589,1309
0310250641,1310
0310251036,1311
0310251044,1312
0310251052,1313
0310251060,1314
0310251109,1315
0310254752,1316
0310254760,1317
0310254876,1318
0310259479,1319
0310259878,1320
0310261341,1321
0310264731,1322
0310271282,1323
0310327970,1324
031047941X,1325
0310532922,1326
0310591104,1327
0310919983,1328
0310926262,1329
0310926270,1330
0310926319,1331
0310963044,1332
031200186X,1333
031201841X,1334
0312055269,1335
0312069871,1336
0312075669,1337
0312080735,1338
0312082029,1339
0312089848,1340
0312097298,1341
0312117388,1342
0312123337,1343
0312132891,1344
0312133456,1345
031214380X,1346
0312144350,1347
0312144369,1348
0312148542,1349
0312154305,1350
031215514X,1351
0312155158,1352
0312155190,1353
0312158971,1354
0312169345,1355
0312180446,1356
0312180624,1357
0312180764,1358
031218106X,1359
0312181213,1360
0312184786,1361
0312185480,1362
0312185758,1363
0312186010,1364
0312186185,1365
0312186258,1366
031219126X,1367
0312192037,1368
0312195419,1369
0312195532,1370
0312199953,1371
031219997X,1372
0312199996,1373
0312203128,1374
0312205961,1375
0312206550,1376
0312206828,1377
0312216890,1378
031222687X,1379
0312226969,1380
0312233442,1381
031223841X,1382
0312242719,1383
0312242743,1384
0312242913,1385
031224407X,1386
0312244150,1387
0312247761,1388
031225296X,1389
0312253559,1390
0312253648,1391
0312253672,1392
0312253737,1393
0312263805,1394
0312263821,1395
0312263856,1396
0312263996,1397
0312264305,1398
0312267932,1399
0312268661,1400
0312268831,1401
0312269463,1402
0312269536,1403
0312270151,1404
0312274564,1405
0312274580,1406
0312274602,1407
0312274785,1408
0312275013,1409
0312275293,1410
0312280343,1411
0312280645,1412
0312280696,1413
0312281188,1414
0312281293,1415
0312284675,1416
0312284888,1417
0312284977,1418
0312285434,1419
0312286007,1420
0312286058,1421
0312290578,1422
0312290659,1423
0312291043,1424
0312291140,1425
0312291248,1426
0312291337,1427
0312299907,1428
0312300883,1429
0312300905,1430
0312300948,1431
0312300972,1432
0312301537,1433
0312301545,1434
0312301588,1435
0312301715,1436
0312301774,1437
0312301782,1438
0312306237,1439
0312306407,1440
031230644X,1441
0312307063,1442
0312307128,1443
0312307144,1444
031230725X,1445
0312311656,1446
0312312156,1447
0312312504,1448
0312313004,1449
0312313047,1450
0312313128,1451
0312313144,1452
0312316437,1453
0312316518,1454
0312317425,1455
0312317476,1456
0312317492,1457
0312321899,1458
031232197X,1459
0312322348,1460
0312323107,1461
0312323158,1462
0312323190,1463
0312326793,1464
0312326823,1465
0312326998,1466
0312327307,1467
0312327439,1468
031232801X,1469
0312328044,1470
0312328052,1471
031232815X,1472
0312328176,1473
0312331827,1474
0312331983,1475
0312332629,1476
0312332726,1477
0312332823,1478
0312332874,1479
0312333064,1480
0312333102,1481
0312333269,1482
0312334087,1483
0312336810,1484
0312336861,1485
0312337329,1486
0312337361,1487
0312337396,1488
0312337442,1489
0312337698,1490
0312338031,1491
0312338090,1492
031233818X,1493
0312338325,1494
0312338376,1495
0312342837,1496
0312342985,1497
0312343493,1498
0312343582,1499
0312347669,1500
0312347707,1501
0312347804,1502
0312347898,1503
0312348177,1504
0312348290,1505
0312348347,1506
0312349017,1507
031235004X,1508
0312353561,1509
0312353723,1510
0312353731,1511
0312354312,1512
0312357885,1513
0312421664,1514
0312421788,1515
0312422261,1516
0312447310,1517
0312458460,1518
031249047X,1519
0312493886,1520
0312493894,1521
0312495412,1522
0312546807,1523
0312850956,1524
0312851723,1525
0312852150,1526
0312852312,1527
0312855826,1528
0312856482,1529
0312857004,1530
0312857055,1531
0312862113,1532
0312862180,1533
031286583X,1534
0312865848,1535
0312865961,1536
0312865988,1537
0312866828,1538
031286714X,1539
0312867271,1540
0312867298,1541
0312868065,1542
0312872577,1543
0312873115,1544
031287314X,1545
0312876602,1546
0312877315,1547
0312877366,1548
031287751X,1549
0312878095,1550
0312878109,1551
0312904185,1552
0312924801,1553
0312925174,1554
0312926022,1555
0312929773,1556
0312930356,1557
0312930577,1558
031293615X,1559
0312939620,1560
0312939663,1561
0312951299,1562
0312960948,1563
0312962126,1564
0312966407,1565
0312966628,1566
0312970978,1567
0312971907,1568
0312973004,1569
0312973020,1570
0312973063,1571
0312973071,1572
0312975880,1573
0312976801,1574
0312976852,1575
0312977182,1576
0312977379,1577
0312982305,1578
0312982593,1579
0312983115,1580
0312983123,1581
031298314X,1582
0312983212,1583
0312983255,1584
0312986769,1585
0312986777,1586
0312992416,1587
0312992424,1588
0312992432,1589
0312992823,1590
031299284X,1591
0312993099,1592
0312993269,1593
0312994036,1594
0312994044,1595
0312994060,1596
0312996756,1597
0312997477,1598
0312997523,1599
0313224595,1600
0316000612,1601
0316010766,1602
0316010901,1603
0316010928,1604
0316010936,1605
0316011274,1606
0316011282,1607
0316012114,1608
0316014982,1609
0316058254,1610
0316058262,1611
0316058270,1612
0316090077,1613
0316095133,1614
0316099066,1615
031611040X,1616
0316114715,1617
031611488X,1618
0316114995,1619
0316155985,1620
0316163163,1621
0316166812,1622
0316273244,1623
0316321001,1624
0316323942,1625
0316328820,1626
0316473049,1627
0316507873,1628
0316518492,1629
0316524328,1630
0316535303,1631
0316586366,1632
0316586390,1633
0316603236,1634
0316607630,1635
0316608068,1636
0316692476,1637
0316695904,1638
0316702757,1639
0316707376,1640
0316707430,1641
0316707554,1642
0316713317,1643
0316713597,1644
0316724378,1645
0316728683,1646
0316734357,1647
0316735043,1648
0316735086,1649
0316735094,1650
0316739057,1651
0316739065,1652
0316743763,1653
0316779849,1654
0316785644,1655
0316789992,1656
0316801798,1657
0316806501,1658
0316812404,1659
0316816884,1660
0316817457,1661
0316818100,1662
0316834009,1663
0316848662,1664
0316890790,1665
0316923354,1666
0317068806,1667
031753159X,1668
0317568027,1669
031764159X,1670
0318330148,1671
0318371553,1672
0318374951,1673
0321087976,1674
0321108957,1675
0321146530,1676
0321193628,1677
0321193660,1678
0321193679,1679
0321197674,1680
0321218736,1681
0321245660,1682
0321293533,1683
0321330625,1684
0321334876,1685
0321344758,1686
0321349601,1687
0321356411,1688
0330254022,1689
0330280244,1690
033032652X,1691
0330332503,1692
0330332694,1693
0330346970,1694
0330348337,1695
0330368729,1696
0330368753,1697
033039892X,1698
0330411675,1699
0330426478,1700
0330426737,1701
0330431900,1702
0330483846,1703
0330485059,1704
0330487965,1705
0330489453,1706
0330490311,1707
0330491075,1708
0333050746,1709
0333138678,1710
0333168925,1711
0333322738,1712
0333360079,1713
0333499638,1714
0333511832,1715
0333580443,1716
0333594916,1717
0333594983,1718
0333623096,1719
0333648056,1720
0333648250,1721
0333679393,1722
0333698665,1723
0333698673,1724
0333722175,1725
0333726316,1726
0333735978,1727
0333741722,1728
0333741765,1729
0333793919,1730
0333904419,1731
0333904435,1732
0333908724,1733
0333908937,1734
0333908945,1735
0333935756,1736
033398904X,1737
0333989066,1738
0340012625,1739
0340106417,1740
0340191074,1741
0340215895,1742
0340285095,1743
0340322373,1744
0340505206,1745
0340572728,1746
0340573481,1747
0340642157,1748
0340693401,1749
0340707968,1750
0340734795,1751
034073891X,1752
0340745622,1753
0340750685,1754
0340793112,1755
0340803452,1756
0340818867,1757
0340819154,1758
0340819456,1759
0340823747,1760
0340823828,1761
0340824344,1762
0340824441,1763
0340825103,1764
0340830352,1765
0340830379,1766
0340833874,1767
0340833882,1768
0340839708,1769
0340850671,1770
0340867035,1771
0340881534,1772
0345021932,1773
0345210964,1774
034521594X,1775
0345216180,1776
0345216199,1777
0345217101,1778
034521711X,1779
0345222016,1780
0345222024,1781
0345222032,1782
0345222210,1783
0345231597,1784
0345236580,1785
0345252861,1786
0345273478,1787
0345274253,1788
0345283937,1789
0345284224,1790
034528948X,1791
0345293894,1792
0345295226,1793
0345298829,1794
0345301226,1795
0345311469,1796
0345312007,1797
0345314867,1798
034531980X,1799
0345320735,1800
0345322215,1801
0345325699,1802
0345326164,1803
0345327144,1804
0345335945,1805
0345342364,1806
0345348060,1807
0345351878,1808
034535673X,1809
0345356837,1810
0345368096,1811
0345373243,1812
034537410X,1813
0345379004,1814
0345379020,1815
0345379055,1816
0345379071,1817
0345379098,1818
0345384202,1819
0345384210,1820
0345384229,1821
034538900X,1822
0345390059,1823
0345394402,1824
0345400437,1825
0345401018,1826
0345401026,1827
034540114X,1828
0345405404,1829
0345406044,1830
0345406079,1831
0345406095,1832
0345420578,1833
0345421418,1834
0345421426,1835
034542204X,1836
0345424816,1837
0345425502,1838
034542588X,1839
0345426029,1840
0345426274,1841
0345426339,1842
0345426398,1843
0345430697,1844
034543076X,1845
0345430778,1846
0345430794,1847
0345431251,1848
0345431367,1849
0345431383,1850
0345431553,1851
0345432185,1852
0345432258,1853
0345434927,1854
0345435796,1855
0345435923,1856
0345436121,1857
0345436180,1858
0345437055,1859
0345439902,1860
0345439945,1861
0345440919,1862
0345441419,1863
0345441443,1864
0345441753,1865
0345441761,1866
0345445740,1867
0345445872,1868
034544597X,1869
0345446526,1870
0345446550,1871
0345447123,1872
